,City,Country Code,Longitude,Latitude,Temperature,Wind Speed,Cloudiness
103,Sabalgarh,IN,77.41,26.25,66.69,6.64,0
104,Alyangula,AU,136.42,-13.85,81.99,5.19,36
105,Coruripe,BR,-36.18,-10.12,80.68,15.7,76
106,Svetlaya,RU,138.33,46.54,34.47,11.23,88
107,Geraldton,AU,114.6,-28.77,57.2,6.93,48
108,Waddan,LY,16.14,29.16,48.6,10.22,0
109,Rio Grande,BR,-52.1,-32.03,73.4,13.87,75
110,Anadyr,RU,177.51,64.73,-7.61,11.18,0
111,Ulladulla,AU,150.48,-35.36,51.8,1.12,20
112,Sioux Lookout,CA,-91.92,50.1,39.9,9.17,40
113,Charlestown,KN,-62.62,17.13,81.45,12.75,20
114,Lagoa,PT,-8.45,37.14,62.6,6.93,0
115,Saint-Denis,RE,55.47,-20.87,74.21,5.82,0
116,Ixtapa,MX,-105.21,20.71,82.21,3.06,0
117,Tala,EG,30.94,30.68,64.21,9.55,48
118,West Bay,KY,-81.42,19.37,82.4,21.92,40
119,Teahupoo,PF,-149.27,-17.83,87.8,16.11,75
120,Camargo,BO,-65.21,-20.64,56.7,4.07,56
121,Ossora,RU,163.07,59.24,11.79,3.96,76
122,Chuy,UY,-53.46,-33.69,69.25,12.68,56
123,Krasnyye Chetai,RU,46.16,55.69,24.07,12.91,92
124,Tilichiki,RU,166.1,60.47,-2.39,2.62,68
125,Hamilton,BM,-64.78,32.3,60.8,20.8,40
126,Sao Filipe,CV,-24.5,14.9,70.29,14.25,0
127,Portel,BR,-50.82,-1.94,83.29,4.41,48
128,Sur,OM,59.53,22.57,77.08,1.95,0
129,Makakilo City,US,-158.09,21.35,77.0,10.29,40
130,Salinopolis,BR,-47.36,-0.61,82.35,10.78,0
131,Waingapu,ID,120.26,-9.65,70.92,3.51,8
132,Carutapera,BR,-46.02,-1.2,81.13,7.09,8
133,Walvis Bay,NA,14.51,-22.95,65.56,7.43,20
134,Vardo,NO,31.11,70.37,20.01,11.41,75
135,Oytal,KZ,73.27,42.91,45.31,5.19,92
136,Urucui,BR,-44.56,-7.23,83.07,6.76,64
137,Lavrentiya,RU,-170.99,65.58,19.75,3.4,88
138,Mayo,CA,-135.9,63.59,10.4,3.74,5
139,Coquimbo,CL,-71.34,-29.95,60.8,13.87,75
140,Hammerfest,NO,23.68,70.66,27.88,14.99,40
141,Puerto Ayora,EC,-90.35,-0.74,84.2,13.87,20
142,Souillac,MU,57.52,-20.52,75.2,5.82,20
143,Torbay,CA,-52.73,47.66,44.6,8.05,75
144,Dickinson,US,-102.79,46.88,48.2,17.22,1
145,Port Hedland,AU,118.58,-20.31,80.6,5.82,0
146,Rundu,NA,19.77,-17.91,65.25,2.73,44
147,Deputatskiy,RU,139.9,69.3,-10.72,2.95,36
148,Durgapur,IN,87.34,23.54,66.64,3.96,0
149,Hilo,US,-155.08,19.71,70.38,5.82,1
150,Tacuarembo,UY,-55.98,-31.73,70.29,10.56,92
151,Kurilsk,RU,147.88,45.23,33.43,8.32,44
152,Banamba,ML,-7.45,13.55,80.05,7.65,20
153,College,US,-147.8,64.86,18.28,6.64,1
154,Artyom,AZ,50.33,40.47,44.6,4.7,0
155,Scarborough,TT,-60.73,11.18,82.4,13.87,40
156,Salalah,OM,54.1,17.01,80.6,3.36,0
157,Prince George,CA,-122.75,53.92,42.8,23.04,40
158,Victoria,SC,55.45,-4.62,80.6,3.36,0
159,Sorong,ID,131.25,-0.86,81.58,9.44,36
160,Daugai,LT,24.35,54.36,25.7,3.36,0
161,Aksarka,RU,67.8,66.56,-19.49,4.18,0
162,Yar-Sale,RU,70.83,66.83,-16.79,9.22,0
163,Kirakira,SB,161.92,-10.46,83.65,2.51,8
164,Saint-Philippe,RE,55.77,-21.36,74.35,6.93,0
165,Faanui,PF,-151.75,-16.48,82.93,17.83,80
166,Sola,VU,167.55,-13.88,82.93,1.72,24
167,Nikolskoye,RU,30.79,59.7,19.4,6.71,0
168,Mahebourg,MU,57.7,-20.41,75.2,5.82,20
169,Luderitz,NA,15.16,-26.65,64.4,8.05,0
170,Severo-Kurilsk,RU,156.12,50.68,29.47,11.79,88
171,Baracoa,CU,-74.5,20.35,74.2,15.26,100
172,Werda,BW,23.28,-25.27,70.65,12.12,36
173,Uglegorsk,RU,142.06,49.08,25.24,4.63,0
174,Moravska Trebova,CZ,16.66,49.76,32.0,3.36,0
175,Half Moon Bay,US,-122.43,37.46,68.81,8.05,40
176,Cabo San Lucas,MX,-109.91,22.89,76.23,11.41,40
177,Castro,CL,-73.76,-42.48,57.1,6.42,92
178,Talcahuano,CL,-73.12,-36.72,66.2,16.11,0
179,Maues,BR,-57.72,-3.38,87.97,3.18,24
180,Formosa do Rio Preto,BR,-45.19,-11.04,81.58,8.21,68
181,Adelaide,AU,138.6,-34.93,68.0,10.29,75
